approval-date	reimbursement-id	case-id	amazon-order-id	reason	sku	fnsku	asin	product-name	condition	currency-unit	amount-per-unit	amount-total	quantity-reimbursed-cash	quantity-reimbursed-inventory	quantity-reimbursed-total	original-reimbursement-id	original-reimbursement-type
2026-05-19T02:55:56+00:00	8322042632		407-9367215-1593131	CustomerReturn	1030500	X0018CDFL3	B08H88N2N9	Cubelelo Drift Warrior 3x3 Stickerless Cube | Beginner Speedcube for Kids Boys Girls Above 3 4 5 6 Years Old & Above | Magic Puzzle Toy | Durable & Smooth Cube with Anti-Pop Design 3 3	NewItem	INR	88.28	88.28	1	0	1		
2026-05-18T23:04:03+00:00	8322687882		407-8038660-4505159	CustomerReturn	1030651	X0025EZ04D	B0DJQWJFSX	Cubelelo Drift 3M Plus v2 3x3 (Magnetic) (New Upgraded Version) | Based on MoYu RS3M v5 | Dual-Adjustment System | Speedcube for Kids & Adults | Magic Speedy Stress Buster Brainstorming Puzzle	NewItem	INR	60.38	60.38	1	0	1		
2026-05-18T20:06:56+00:00	8321940902		407-0364498-3484333	CustomerReturn	1030300_EAN	X002C88WLZ	B0FBMGT6V7	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	NewItem	INR	0.41	0.41	1	0	1		
2026-05-18T17:44:05+00:00	8321270702		408-9553399-2834743	CustomerReturn	1030604	X0027JJHDB	B0DRVQVFJB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	NewItem	INR	331.09	331.09	1	0	1		
2026-05-18T15:43:57+00:00	8321390322		406-0293375-4843553	CustomerReturn	1030604	X0027JJHDB	B0DRVQVFJB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	NewItem	INR	26.49	26.49	1	0	1		
2026-05-18T14:38:59+00:00	8321056532		403-5049735-7302737	CustomerReturn	1120100	X0019BU32H	B08LBGYZ51	Cubelelo Drift 3x3 Mirror (Silver) Magic Speed Cube | Shape Shifter Speedcube with Durable Stickers | Advanced 3x3x3 Puzzle Toy for Kids Ages 7-14 Boys Girls & Adults | Collector's Item	NewItem	INR	183.51	183.51	1	0	1		
2026-05-18T14:06:14+00:00	8320484122		408-0130717-5338731	CustomerReturn	1050200	X001GM0XER	B09K7QTCXP	Cubelelo Drift 5x5 Stickerless Speed Cube | AKA Professor's Cube Magic Puzzle for Kids & Adults | Smooth and Durable Speedy Brainstorming Puzzle| Ultimate Stress Buster and Mind Challenge	NewItem	INR	332.04	332.04	1	0	1		
2026-05-18T13:58:34+00:00	8321018252		403-0005733-2751550	CustomerReturn	1020200	X0019BU39P	B08LBJ3P8L	Cubelelo Drift 2x2 Stickerless Cube | Beginner Speedcube for Kids Boys Girls Above 3 4 5 6 Years Old & Above | Magic Puzzle Toy | Durable & Smooth Cube with Anti-Pop Design 2x2x2	NewItem	INR	110.33	110.33	1	0	1		
2026-05-18T11:26:34+00:00	8320530322		402-7830777-9230737	CustomerServiceIssue	1260200	X001VFDOQX	B0CJFSPB4P	Cubelelo Drift Puppet II Speed Cube | Brain Teaser Puzzle Toys | Limited Rotation | Creative New Cube for Kids and Adults	NewItem	INR	402.33	402.33	1	0	1		
2026-05-18T10:37:04+00:00	8319452852		407-1518222-6085108	CustomerReturn	1030604	X0027JJHDB	B0DRVQVFJB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	NewItem	INR	155.61	155.61	1	0	1		
2026-05-18T03:27:45+00:00	8318944082		407-6829799-9039515	CustomerReturn	1030300_EAN	X002C88WLZ	B0FBMGT6V7	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	NewItem	INR	41.60	41.60	1	0	1		
2026-05-18T01:12:09+00:00	8317773072		408-8024922-8564343	CustomerReturn	1460501	X001VLOAKL	B08XK25RRF	Cubelelo Drift 2x2 & 3x3 Cube Gift Box Combo | 2-in-1 Puzzle Toy Game Set for Children Kids & Adults Ages 4 5 6 & Above | Double the Challenge, Twice the Fun | Ultimate Value Saver Combo	NewItem	INR	184.46	184.46	1	0	1		
2026-05-18T00:52:26+00:00	8318130062		405-3125985-2185148	CustomerServiceIssue	1030478	X001HYK0PL	B09PYRTM4X	Cubelelo Drift 3x3 Jelly Edition Speedcube Magic Cube Puzzle	NewItem	INR	49.34	49.34	1	0	1		
