return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	license-plate-number	customer-comments
2026-04-12T11:57:36+00:00	406-5479715-8262741	1460553	B0BYVHGR5H	X001WPZI9N	Cubelelo Drift 2x2, 3x3 & Pyraminx Cube Combo (Stickerless) | Ideal for Kids Above 3 4 5 6 Years Old Boys Girls | 3 in 1 Speedcube Gift Set | High Speed Puzzle 3x3x3 2x2x2 Pyramid Triangle	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P1324798	
2026-04-12T11:57:36+00:00	406-5479715-8262741	1460553	B0BYVHGR5H	X001WPZI9N	Cubelelo Drift 2x2, 3x3 & Pyraminx Cube Combo (Stickerless) | Ideal for Kids Above 3 4 5 6 Years Old Boys Girls | 3 in 1 Speedcube Gift Set | High Speed Puzzle 3x3x3 2x2x2 Pyramid Triangle	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P1324801	
2026-04-12T11:57:36+00:00	406-5479715-8262741	1460553	B0BYVHGR5H	X001WPZI9N	Cubelelo Drift 2x2, 3x3 & Pyraminx Cube Combo (Stickerless) | Ideal for Kids Above 3 4 5 6 Years Old Boys Girls | 3 in 1 Speedcube Gift Set | High Speed Puzzle 3x3x3 2x2x2 Pyramid Triangle	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P1324802	
2026-04-12T11:57:36+00:00	406-5479715-8262741	1460553	B0BYVHGR5H	X001WPZI9N	Cubelelo Drift 2x2, 3x3 & Pyraminx Cube Combo (Stickerless) | Ideal for Kids Above 3 4 5 6 Years Old Boys Girls | 3 in 1 Speedcube Gift Set | High Speed Puzzle 3x3x3 2x2x2 Pyramid Triangle	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P1324806	
2026-04-12T11:57:36+00:00	406-5479715-8262741	1460553	B0BYVHGR5H	X001WPZI9N	Cubelelo Drift 2x2, 3x3 & Pyraminx Cube Combo (Stickerless) | Ideal for Kids Above 3 4 5 6 Years Old Boys Girls | 3 in 1 Speedcube Gift Set | High Speed Puzzle 3x3x3 2x2x2 Pyramid Triangle	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P1324803	
2026-04-12T11:54:26+00:00	408-6731281-8889109	1030300_EAN	B0FBMGT6V7	X002C88WLZ	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P3631044	
2026-04-12T11:54:26+00:00	408-8550483-9500304	1030300_EAN	B0FBMGT6V7	X002C88WLZ	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P3631045	
2026-04-12T11:49:23+00:00	408-0856927-6538762	1630222	B0GH18NXXG	X002HPDYRF	Cubelelo Drift Magnetic Tangram Puzzle | with Strong Magnets, Wooden Pieces & Bold Colors | Toys for 5-10 Years Old Boys Girls & Adults | Travel Friendly, Educational Toy for Return & Birthday Gifts	1	BLR5	SELLABLE	UNDELIVERABLE_UNKNOWN	LPNBLR5P0140750	
2026-04-12T11:43:50+00:00	171-6877172-8259503	1630210	B09HH8CC7Y	X00262W227	Cubelelo Drift Number Sliding Magnetic Puzzle 4x4 | Toys For 6-10 Years Old Boys & Girls | 15-Blocks Brain Teaser Puzzle Game for Kids | Educational, Learning, Activity Toy for Return & Birthday Gifts	1	BLR5	SELLABLE	UNDELIVERABLE_UNKNOWN	LPNBLR5P0066539	
2026-04-12T11:43:50+00:00	171-8015134-4209917	1630210	B09HH8CC7Y	X00262W227	Cubelelo Drift Number Sliding Magnetic Puzzle 4x4 | Toys For 6-10 Years Old Boys & Girls | 15-Blocks Brain Teaser Puzzle Game for Kids | Educational, Learning, Activity Toy for Return & Birthday Gifts	1	BLR5	SELLABLE	UNDELIVERABLE_UNKNOWN	LPNBLR5P0066538	
2026-04-12T11:41:40+00:00	402-5338235-6042743	1030604	B0DRVQVFJB	X0027JJHDB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	1	DEL2	SELLABLE	UNDELIVERABLE_REFUSED	LPNDEL2R81577522	
