request-date	order-id	order-source	order-type	service-speed	order-status	last-updated-date	sku	fnsku	disposition	requested-quantity	cancelled-quantity	disposed-quantity	shipped-quantity	in-process-quantity	removal-fee	currency
2026-05-28T13:55:22+05:30	Xq5s8pi486	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T02:35:31+05:30	1020200	X0019BU39P	Unsellable	1	0		1	0	11.80	INR
2026-05-28T13:55:22+05:30	Xq5s8pi486	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T02:35:31+05:30	1630202	X001ETHG47	Unsellable	2	0		2	0	23.60	INR
2026-05-28T13:55:22+05:30	Xq5s8pi486	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T02:35:31+05:30	1040300	X001G4QY25	Unsellable	1	0		1	0	11.80	INR
2026-05-28T13:55:22+05:30	Xq5s8pi486	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T02:35:31+05:30	1280100a	X001LHLHUV	Unsellable	2	0		2	0	23.60	INR
2026-05-28T13:55:22+05:30	Xq5s8pi486	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T02:35:31+05:30	1280600_EAN	X001PEDWDF	Unsellable	1	0		1	0	11.80	INR
2026-05-28T13:55:22+05:30	Xq5s8pi486	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T02:35:31+05:30	1460510	X001VW450P	Unsellable	1	0		1	0	11.80	INR
2026-05-28T13:55:22+05:30	Xq5s8pi486	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T02:35:31+05:30	1290300	X00239RFKR	Unsellable	2	0		2	0	23.60	INR
2026-05-28T13:55:22+05:30	Xq5s8pi486	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T02:35:31+05:30	1630210	X00262W227	Unsellable	2	0		2	0	23.60	INR
2026-05-28T13:55:22+05:30	Xq5s8pi486	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T02:35:31+05:30	1030603	X0027JJ8K3	Unsellable	1	0		1	0	11.80	INR
2026-05-28T13:55:22+05:30	Xq5s8pi486	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T02:35:31+05:30	TB00001	X002C7B5I3	Unsellable	1	0		1	0	11.80	INR
2026-05-28T13:55:22+05:30	Xq5s8pi486	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T02:35:31+05:30	1030300_EAN	X002C88WLZ	Unsellable	4	0		4	0	47.20	INR
2026-05-28T13:55:22+05:30	Xq5s8pi486	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-31T02:35:31+05:30	1040400	X002DFU80F	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:04:12+05:30	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-28T17:25:24+05:30	1030478	X001HYK0PL	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:04:12+05:30	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-28T17:25:24+05:30	1630201	X001I5SK8D	Unsellable	2	0		2	0	23.60	INR
2026-05-22T14:04:12+05:30	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-28T17:25:24+05:30	1280100a	X001LHLHUV	Unsellable	2	0		2	0	23.60	INR
2026-05-22T14:04:12+05:30	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-28T17:25:24+05:30	1280600_EAN	X001PEDWDF	Unsellable	2	0		2	0	23.60	INR
2026-05-22T14:04:12+05:30	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-28T17:25:24+05:30	1460501	X001VLOAKL	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:04:12+05:30	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-28T17:25:24+05:30	1460520	X001VZFWNB	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:04:12+05:30	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-28T17:25:24+05:30	1140034	X001WWIYG5	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:04:12+05:30	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-28T17:25:24+05:30	1290300	X00239RFKR	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:04:12+05:30	Xq5m8x9933	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-28T17:25:24+05:30	1630210	X00262W227	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:04:02+05:30	Xq5m8x9932	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-27T04:14:46+05:30	1460553	X001WPZI9N	Unsellable	1	1		0	0		
2026-05-22T14:04:02+05:30	Xq5m8x9932	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-27T04:14:46+05:30	1290300	X00239RFKR	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:52+05:30	Xq5m8x9931	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T15:44:09+05:30	1150100	X001F0EEEF	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:52+05:30	Xq5m8x9931	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T15:44:09+05:30	1050200	X001GM0XER	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:52+05:30	Xq5m8x9931	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T15:44:09+05:30	1030478	X001HYK0PL	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:52+05:30	Xq5m8x9931	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T15:44:09+05:30	1630201	X001I5SK8D	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:52+05:30	Xq5m8x9931	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T15:44:09+05:30	1280600_EAN	X001PEDWDF	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:52+05:30	Xq5m8x9931	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T15:44:09+05:30	1460100_EAN	X001Q0AFBZ	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:52+05:30	Xq5m8x9931	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T15:44:09+05:30	1460510	X001VW450P	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:52+05:30	Xq5m8x9931	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T15:44:09+05:30	1290300	X00239RFKR	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:52+05:30	Xq5m8x9931	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T15:44:09+05:30	1030651	X0025EZ04D	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:52+05:30	Xq5m8x9931	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T15:44:09+05:30	1030604	X0027JJHDB	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:52+05:30	Xq5m8x9931	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T15:44:09+05:30	1030300_EAN	X002C88WLZ	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:52+05:30	Xq5m8x9931	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T15:44:09+05:30	1120038a	X002CWQDK3	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:52+05:30	Xq5m8x9931	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T15:44:09+05:30	1630222	X002HPDYRF	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:41+05:30	Xq5m8x9930	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-28T08:01:37+05:30	1040300	X001G4QY25	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:31+05:30	Xq5m8x9929	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T07:40:07+05:30	1630210	X00262W227	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:31+05:30	Xq5m8x9929	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T07:40:07+05:30	1030604	X0027JJHDB	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:24+05:30	Xq5m8x9928	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T19:57:11+05:30	1280100a	X001LHLHUV	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:24+05:30	Xq5m8x9928	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T19:57:11+05:30	1160200	X001ZUU6DD	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:24+05:30	Xq5m8x9928	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T19:57:11+05:30	1630222	X002HPDYRF	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:12+05:30	Xq5m8x9927	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T23:29:40+05:30	1030400	X0012WM1NR	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:12+05:30	Xq5m8x9927	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T23:29:40+05:30	1030500	X0018CDFL3	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:12+05:30	Xq5m8x9927	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T23:29:40+05:30	1040300	X001G4QY25	Unsellable	2	0		2	0	23.60	INR
2026-05-22T14:03:12+05:30	Xq5m8x9927	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T23:29:40+05:30	1050200	X001GM0XER	Unsellable	2	0		2	0	23.60	INR
2026-05-22T14:03:12+05:30	Xq5m8x9927	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T23:29:40+05:30	1630201	X001I5SK8D	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:12+05:30	Xq5m8x9927	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T23:29:40+05:30	1460503	X001VFXJDV	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:12+05:30	Xq5m8x9927	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T23:29:40+05:30	1460501	X001VLOAKL	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:12+05:30	Xq5m8x9927	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T23:29:40+05:30	CLB0502	X001VZMI15	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:12+05:30	Xq5m8x9927	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T23:29:40+05:30	1140034	X001WWIYG5	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:12+05:30	Xq5m8x9927	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T23:29:40+05:30	1290300	X00239RFKR	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:12+05:30	Xq5m8x9927	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T23:29:40+05:30	CLB0525	X00271Q95N	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:12+05:30	Xq5m8x9927	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T23:29:40+05:30	1030604	X0027JJHDB	Unsellable	3	0		3	0	35.40	INR
2026-05-22T14:03:12+05:30	Xq5m8x9927	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T23:29:40+05:30	1030300_EAN	X002C88WLZ	Unsellable	2	0		2	0	23.60	INR
2026-05-22T14:03:12+05:30	Xq5m8x9927	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T23:29:40+05:30	1040400	X002DFU80F	Unsellable	1	0		1	0	11.80	INR
2026-05-22T14:03:12+05:30	Xq5m8x9927	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-24T23:29:40+05:30	1630222	X002HPDYRF	Unsellable	3	0		3	0	35.40	INR
2026-05-15T13:55:32+05:30	Xq5f8o9449	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Completed	2026-05-19T19:06:32+05:30	1030500	X0018CDFL3	Unsellable	1	0		1	0	11.80	INR
2026-05-15T13:55:32+05:30	Xq5f8o9449	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Completed	2026-05-19T19:06:32+05:30	1120100	X0019BU32H	Unsellable	1	0		1	0	11.80	INR
2026-05-15T13:55:32+05:30	Xq5f8o9449	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Completed	2026-05-19T19:06:32+05:30	1040300	X001G4QY25	Unsellable	1	0		1	0	11.80	INR
2026-05-15T13:55:32+05:30	Xq5f8o9449	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Completed	2026-05-19T19:06:32+05:30	1630201	X001I5SK8D	Unsellable	1	0		1	0	11.80	INR
2026-05-15T13:55:32+05:30	Xq5f8o9449	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Completed	2026-05-19T19:06:32+05:30	1280100a	X001LHLHUV	Unsellable	1	0		1	0	11.80	INR
2026-05-15T13:55:32+05:30	Xq5f8o9449	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Completed	2026-05-19T19:06:32+05:30	1460501	X001VLOAKL	Unsellable	1	0		1	0	11.80	INR
2026-05-15T13:55:32+05:30	Xq5f8o9449	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Completed	2026-05-19T19:06:32+05:30	1460580	X002345VBR	Unsellable	1	0		1	0	11.80	INR
2026-05-15T13:55:32+05:30	Xq5f8o9449	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Completed	2026-05-19T19:06:32+05:30	1630210	X00262W227	Unsellable	1	0		1	0	11.80	INR
2026-05-15T13:55:32+05:30	Xq5f8o9449	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Completed	2026-05-19T19:06:32+05:30	1030604	X0027JJHDB	Unsellable	2	0		2	0	23.60	INR
2026-05-15T13:55:32+05:30	Xq5f8o9449	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Completed	2026-05-19T19:06:32+05:30	TB03001	X002EI0VUX	Unsellable	1	0		1	0	11.80	INR
2026-05-15T13:55:32+05:30	Xq5f8o9449	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Completed	2026-05-19T19:06:32+05:30	1630222	X002HPDYRF	Unsellable	1	0		1	0	11.80	INR
2026-05-15T13:55:22+05:30	Xq5f8o9448	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Completed	2026-05-20T05:36:27+05:30	UNKNOW	B0DJ2LWTZ6	Unsellable	1	0		1	0	11.80	INR
2026-05-15T13:55:22+05:30	Xq5f8o9448	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Completed	2026-05-20T05:36:27+05:30	1460553	X001WPZI9N	Unsellable	1	1		0	0		
2026-05-15T13:55:12+05:30	Xq5f8o9447	Seller-configured Automated Unfulfillable Removal System	Return	Standard	Delivered	2026-05-16T17:35:55+05:30	1030500	X0018CDFL3	Unsellable	1	0		1	0	11.80	INR
